filename,page_num,global_page,heading,heading_level,excerpt
"27学霸笔记—中药学.pdf",28,242,"学霸","short","学霸\n中医考研\n笔记\n中药分类与歌诀\n红粉*：红粉拔毒脓腐肌，此药外用不内用。炉甘石*：炉甘石解毒，目湿痒疮，外用不内用。硼砂*：\n拔毒化腐\n硼砂外热毒，内清肺化痰。础石：础石攻毒虫,蚀疮祛腐脓,劫痰喘截疤,攻毒抑癌功。量点零零二到四，\n生肌药"
"27学霸笔记—中药学.pdf",28,242,"中医考研","short","中医考研\n笔记\n中药分类与歌诀\n红粉*：红粉拔毒脓腐肌，此药外用不内用。炉甘石*：炉甘石解毒，目湿痒疮，外用不内用。硼砂*：\n拔毒化腐\n硼砂外热毒，内清肺化痰。础石：础石攻毒虫,蚀疮祛腐脓,劫痰喘截疤,攻毒抑癌功。量点零零二到四，\n生肌药\n不可作酒剂。铅丹：铅丹拔毒肌虫痒，镇惊坠痰截疟良。点三点六人丸散。轻粉：轻粉虫毒疮，痰积逐水"
"27学霸笔记—中药学.pdf",28,242,"笔记","short","笔记\n中药分类与歌诀\n红粉*：红粉拔毒脓腐肌，此药外用不内用。炉甘石*：炉甘石解毒，目湿痒疮，外用不内用。硼砂*：\n拔毒化腐\n硼砂外热毒，内清肺化痰。础石：础石攻毒虫,蚀疮祛腐脓,劫痰喘截疤,攻毒抑癌功。量点零零二到四，\n生肌药\n不可作酒剂。铅丹：铅丹拔毒肌虫痒，镇惊坠痰截疟良。点三点六人丸散。轻粉：轻粉虫毒疮，痰积逐水\n便。点一至点二"
"27学霸笔记—中药学.pdf",28,242,"中药分类与歌诀","short","中药分类与歌诀\n红粉*：红粉拔毒脓腐肌，此药外用不内用。炉甘石*：炉甘石解毒，目湿痒疮，外用不内用。硼砂*：\n拔毒化腐\n硼砂外热毒，内清肺化痰。础石：础石攻毒虫,蚀疮祛腐脓,劫痰喘截疤,攻毒抑癌功。量点零零二到四，\n生肌药\n不可作酒剂。铅丹：铅丹拔毒肌虫痒，镇惊坠痰截疟良。点三点六人丸散。轻粉：轻粉虫毒疮，痰积逐水\n便。点一至点二\n部分中药鉴别电子版下载"
"27学霸笔记—中药学.pdf",28,242,"拔毒化腐","short","拔毒化腐\n硼砂外热毒，内清肺化痰。础石：础石攻毒虫,蚀疮祛腐脓,劫痰喘截疤,攻毒抑癌功。量点零零二到四，\n生肌药\n不可作酒剂。铅丹：铅丹拔毒肌虫痒，镇惊坠痰截疟良。点三点六人丸散。轻粉：轻粉虫毒疮，痰积逐水\n便。点一至点二\n部分中药鉴别电子版下载\n更多总结资料请用微信扫一扫下方二维码，回复“干货总结”获取\n微信搜一搜"
"27学霸笔记—中药学.pdf",28,242,"生肌药","short","生肌药\n不可作酒剂。铅丹：铅丹拔毒肌虫痒，镇惊坠痰截疟良。点三点六人丸散。轻粉：轻粉虫毒疮，痰积逐水\n便。点一至点二\n部分中药鉴别电子版下载\n更多总结资料请用微信扫一扫下方二维码，回复“干货总结”获取\n微信搜一搜\n远志医研\n更多资料"
"27学霸笔记—中药学.pdf",28,242,"部分中药鉴别电子版下载","short","部分中药鉴别电子版下载\n更多总结资料请用微信扫一扫下方二维码，回复“干货总结”获取\n微信搜一搜\n远志医研\n更多资料\n扫\n一扫获取\n第六章解表药"
"27学霸笔记—中药学.pdf",28,242,"微信搜一搜","short","微信搜一搜\n远志医研\n更多资料\n扫\n一扫获取\n第六章解表药\n第一节发散风寒药\n中药名"
"27学霸笔记—中药学.pdf",28,242,"远志医研","short","远志医研\n更多资料\n扫\n一扫获取\n第六章解表药\n第一节发散风寒药\n中药名\n性味归经"
"27学霸笔记—中药学.pdf",28,242,"更多资料","short","更多资料\n扫\n一扫获取\n第六章解表药\n第一节发散风寒药\n中药名\n性味归经\n功效"
"27学霸笔记—中药学.pdf",28,242,"一扫获取","short","一扫获取\n第六章解表药\n第一节发散风寒药\n中药名\n性味归经\n功效\n主治\n用法用量"
"27学霸笔记—中药学.pdf",28,242,"第六章解表药","chapter","第六章解表药\n第一节发散风寒药\n中药名\n性味归经\n功效\n主治\n用法用量\n注意事项"
"27学霸笔记—中药学.pdf",28,242,"第一节发散风寒药","chapter","第一节发散风寒药\n中药名\n性味归经\n功效\n主治\n用法用量\n注意事项\n煎服,2～10g；【生用】"
"27学霸笔记—中药学.pdf",28,242,"中药名","short","中药名\n性味归经\n功效\n主治\n用法用量\n注意事项\n煎服,2～10g；【生用】\n【慎用】"
"27学霸笔记—中药学.pdf",28,242,"性味归经","short","性味归经\n功效\n主治\n用法用量\n注意事项\n煎服,2～10g；【生用】\n【慎用】\n1.风寒表证（“发汗力强"")"
"27学霸笔记—中药学.pdf",28,242,"功效","short","功效\n主治\n用法用量\n注意事项\n煎服,2～10g；【生用】\n【慎用】\n1.风寒表证（“发汗力强"")\n发汗解表，不宜久煎；"
"27学霸笔记—中药学.pdf",28,242,"主治","short","主治\n用法用量\n注意事项\n煎服,2～10g；【生用】\n【慎用】\n1.风寒表证（“发汗力强"")\n发汗解表，不宜久煎；\n1.表虚自汗"
"27学霸笔记—中药学.pdf",28,242,"用法用量","short","用法用量\n注意事项\n煎服,2～10g；【生用】\n【慎用】\n1.风寒表证（“发汗力强"")\n发汗解表，不宜久煎；\n1.表虚自汗\n发汗解表"
"27学霸笔记—中药学.pdf",28,242,"注意事项","short","注意事项\n煎服,2～10g；【生用】\n【慎用】\n1.风寒表证（“发汗力强"")\n发汗解表，不宜久煎；\n1.表虚自汗\n发汗解表\n辛微苦"
"27学霸笔记—中药学.pdf",28,242,"【慎用】","marker","【慎用】\n1.风寒表证（“发汗力强"")\n发汗解表，不宜久煎；\n1.表虚自汗\n发汗解表\n辛微苦\n2.胸闷喘咳（“肺气壅遏喘咳胸\n【蜜炙】润肺止咳平"
"27学霸笔记—中药学.pdf",28,242,"发汗解表","short","发汗解表\n辛微苦\n2.胸闷喘咳（“肺气壅遏喘咳胸\n【蜜炙】润肺止咳平\n2.阴虚盗汗\n宣肺平喘\n麻黄*\n温"
"27学霸笔记—中药学.pdf",28,242,"辛微苦","short","辛微苦\n2.胸闷喘咳（“肺气壅遏喘咳胸\n【蜜炙】润肺止咳平\n2.阴虚盗汗\n宣肺平喘\n麻黄*\n温\n利水消肿"
